Campaign,Ad Group,Keyword,Match Type,Suggested Bid (INR),Landing Page
Student Projects,Final Year Projects,[final year project with source code],Exact,15,/build
Student Projects,Final Year Projects,[final year project generator],Exact,12,/build
Student Projects,Final Year Projects,[final year project ideas],Exact,10,/build
Student Projects,Final Year Projects,"final year project",Phrase,8,/build
Student Projects,Final Year Projects,+final +year +project +code,Broad Modified,6,/build
Student Projects,BTech Projects,[BTech project with source code],Exact,14,/build
Student Projects,BTech Projects,[BTech CSE project ideas],Exact,12,/build
Student Projects,BTech Projects,[BTech final year project],Exact,12,/build
Student Projects,BTech Projects,"BTech project",Phrase,8,/build
Student Projects,BTech Projects,+BTech +project +documentation,Broad Modified,6,/build
Student Projects,MCA BCA Projects,[MCA project with source code],Exact,12,/build
Student Projects,MCA BCA Projects,[BCA project ideas],Exact,10,/build
Student Projects,MCA BCA Projects,[MCA final year project],Exact,12,/build
Student Projects,MCA BCA Projects,"MCA BCA project",Phrase,7,/build
Student Projects,Documentation,[project report generator],Exact,10,/build
Student Projects,Documentation,[SRS document generator],Exact,8,/build
Student Projects,Documentation,[IEEE format report generator],Exact,8,/build
Student Projects,Documentation,[automatic PPT generator],Exact,10,/build
Student Projects,Documentation,[viva questions generator],Exact,8,/build
Student Projects,Documentation,"project documentation",Phrase,6,/build
AI Code Generator,Brand Awareness,[AI code generator],Exact,25,/
AI Code Generator,Brand Awareness,[AI code generator India],Exact,20,/
AI Code Generator,Brand Awareness,[automatic code generation],Exact,22,/
AI Code Generator,Brand Awareness,"AI code generator",Phrase,18,/
AI Code Generator,Brand Awareness,+AI +code +generator,Broad Modified,12,/
AI Code Generator,Text to Code,[code from description],Exact,20,/build
AI Code Generator,Text to Code,[text to code generator],Exact,18,/build
AI Code Generator,Text to Code,[generate code from text],Exact,16,/build
AI Code Generator,Text to Code,"code from description",Phrase,14,/build
AI Code Generator,Web App Builder,[web app builder AI],Exact,22,/build
AI Code Generator,Web App Builder,[AI app builder],Exact,24,/build
AI Code Generator,Web App Builder,[automatic web app generator],Exact,18,/build
AI Code Generator,Web App Builder,"web app builder",Phrase,15,/build
AI Code Generator,Full Stack,[full stack generator],Exact,20,/build
